bathroom,kitchen,essentials,safety,other,diabled friendly,service,id,requirement,outdoor amenity,children,income,group
1,1,5,1,0,0,0,18716406,0,0,0,110616.00 ,1
0,1,5,2,0,0,0,3561828,0,0,0,85158.00 ,1
0,1,11,1,1,0,0,11803893,0,0,0,78578.40 ,1
0,1,4,2,1,0,0,10298783,0,0,0,60446.52 ,1
1,1,5,0,0,0,1,26969,0,0,0,57206.40 ,1
0,1,2,1,0,0,0,14759718,0,0,0,56814.00 ,1
1,9,8,2,1,0,1,17184804,0,0,0,53849.40 ,1
1,0,5,3,0,0,0,16147471,0,1,0,48960.00 ,1
2,1,8,3,1,0,1,19503975,0,2,0,48384.00 ,1
1,1,5,2,0,0,0,16468001,0,0,0,46200.00 ,1
2,1,6,0,1,0,0,18309354,0,0,0,46005.84 ,1
0,7,9,2,0,0,1,20426726,0,0,0,43643.04 ,1
1,1,6,3,0,0,0,19611102,0,0,0,43413.00 ,1
1,1,5,2,0,0,0,19786915,0,0,0,42587.64 ,1
1,1,1,0,1,0,0,19296475,0,0,0,42444.00 ,1
1,1,7,2,0,0,0,3971534,0,0,0,42410.40 ,1
0,1,2,0,0,0,1,11459743,0,0,0,42228.00 ,1
0,0,2,1,0,0,0,20523808,0,0,0,41880.00 ,1
1,9,8,3,2,1,3,9427868,0,1,0,41796.00 ,1
1,1,9,1,1,1,0,4121173,0,1,0,41210.40 ,1
0,1,6,1,0,0,0,11452070,0,0,0,40338.00 ,1
1,1,9,1,1,0,0,8067738,0,1,0,39915.60 ,1
1,1,4,1,0,0,0,17366528,0,0,0,39384.00 ,1
2,1,3,3,0,0,0,1984382,0,1,0,39142.80 ,1
2,1,7,4,1,1,1,15130158,0,0,0,38288.64 ,1
1,1,5,0,0,0,1,9578848,0,0,0,37800.00 ,1
2,1,8,3,0,0,1,17651741,0,0,0,37170.00 ,1
1,1,9,2,0,0,1,10807838,0,1,0,36960.00 ,1
1,1,3,0,0,0,0,18876580,0,0,0,36864.00 ,1
1,1,7,0,0,0,0,18505469,0,0,0,36630.00 ,1
2,1,6,4,0,0,1,17863262,0,0,0,36431.64 ,1
0,1,5,2,0,0,0,15322871,0,0,0,36316.80 ,1
0,1,9,0,0,1,0,999045,0,0,0,36102.00 ,1
2,1,5,2,0,0,1,19970186,0,0,0,35884.80 ,1
2,1,4,3,1,0,1,18795556,0,0,0,35040.00 ,1
2,1,8,0,1,0,0,17142458,0,0,0,34819.20 ,1
2,1,6,2,0,1,1,19594617,0,0,0,33858.00 ,1
1,1,4,1,0,0,0,20634473,0,0,0,33597.12 ,1
2,1,8,0,0,0,1,11547379,0,0,0,33446.52 ,1
0,1,5,2,0,0,0,5105632,0,0,0,33264.00 ,1
1,1,7,1,1,0,0,19403353,0,0,0,33224.88 ,1
0,1,6,0,1,0,1,14555176,0,0,0,33066.00 ,1
2,1,7,4,1,0,2,13117094,0,0,0,33058.20 ,1
1,5,7,3,0,1,1,4225569,0,0,0,32382.00 ,1
2,1,4,1,0,0,0,7616822,0,0,0,31963.68 ,1
0,1,4,0,0,0,0,14422308,0,0,0,31512.00 ,1
0,1,0,0,0,0,0,18285379,0,0,0,31455.00 ,1
2,1,6,4,0,0,1,16766855,0,0,0,31320.00 ,1
2,1,13,2,2,1,1,17736033,0,1,0,31296.00 ,1
1,1,5,1,0,0,0,13726217,0,0,0,31284.00 ,1
1,1,5,2,0,0,1,9525490,0,0,0,31196.88 ,1
0,1,2,1,0,0,0,19287758,0,0,0,31087.80 ,1
1,1,8,0,1,0,0,20325804,0,0,0,30456.00 ,1
2,1,8,1,1,0,1,9401880,0,0,0,30294.00 ,1
1,1,8,2,0,0,2,14884485,0,1,0,30239.40 ,1
0,1,6,2,1,0,0,7517579,0,0,0,30196.32 ,1
2,1,4,2,0,0,0,20075989,0,0,0,30021.84 ,1
1,1,6,2,0,0,0,19809138,0,0,0,29316.60 ,1
1,1,5,3,0,0,0,19714056,0,0,0,29280.00 ,1
2,1,11,3,0,0,2,15498370,0,0,0,29137.68 ,1
2,1,9,3,0,0,2,16345072,0,1,0,29040.00 ,1
2,1,6,1,0,0,0,13028519,0,0,0,28896.00 ,1
1,1,7,1,0,0,0,18877341,0,0,0,28764.00 ,1
1,1,8,1,0,0,1,20476765,0,0,0,28728.00 ,1
2,10,10,3,2,0,2,20412160,0,1,0,28320.00 ,1
0,7,4,0,1,0,0,20889280,0,0,0,28200.00 ,1
0,1,7,1,1,0,0,15534686,0,1,0,28098.00 ,1
2,1,9,1,0,0,1,9833953,0,0,0,28056.24 ,1
1,1,7,1,1,0,0,4470011,0,0,0,27619.20 ,1
