id,nice_facility,friendly_host,flexible_time,adequate_amenity,convenient_tranposrtation,highly_recommended,easy_acess,prepare_essentials,match_description,nice_neighborhood,good_location,like_home
657161,23,2,7,7,6,25,30,16,5,7,4,6
1601776,5,2,1,2,3,15,22,3,4,5,3,1
7473102,92,30,20,38,22,83,84,42,11,25,38,26
15773659,3,0,2,2,3,2,1,1,0,0,1,0
16394488,8,3,3,14,3,17,20,6,7,6,3,1
18254314,6,5,5,2,0,21,13,15,2,3,5,3
9577968,102,57,20,60,28,158,139,90,17,32,25,35
20073711,1,0,0,1,0,3,1,1,0,0,0,0
7500571,47,26,25,35,42,75,75,50,14,45,26,22
13841200,0,1,0,0,0,1,1,0,0,0,2,0
19009490,0,0,2,0,1,2,5,1,0,0,0,0
788035,77,25,17,36,27,138,138,71,13,33,23,17
14899111,9,6,6,4,4,17,27,12,2,7,8,13
13479810,116,37,37,43,34,121,115,95,14,38,18,18
1373456,84,34,27,31,34,107,98,75,11,27,22,29
424889,2,2,2,0,1,8,12,2,1,1,2,0
999984,70,54,30,47,30,148,119,120,18,37,50,67
20451174,0,0,1,0,0,2,2,0,0,0,0,0
16866,24,8,4,4,5,32,29,16,5,7,12,8
17570448,33,7,10,5,7,39,47,20,8,10,9,4
13007468,6,5,1,0,1,17,14,6,2,1,6,0
13192867,22,15,7,11,7,41,48,24,8,5,17,9
1170268,20,15,15,8,19,47,45,29,7,16,20,13
6654304,1,0,1,1,1,2,2,4,0,1,2,5
13688278,0,1,1,0,0,1,1,0,0,0,3,0
669633,87,39,43,22,56,121,120,94,21,55,42,36
12106348,36,38,32,33,26,108,101,54,15,26,30,28
254168,8,3,8,2,4,17,9,9,1,3,4,2
15054630,28,7,4,7,14,21,27,11,3,7,7,6
15178725,7,9,11,10,8,14,14,13,4,8,9,8
4122052,214,85,98,130,60,335,330,197,43,71,82,89
12340135,9,4,7,3,3,20,18,9,3,2,4,6
4718152,34,21,17,8,35,59,65,45,15,35,15,22
453255,7,9,3,5,10,29,31,18,3,9,11,10
13124099,23,6,8,5,10,27,26,15,2,12,8,4
5409372,5,3,2,1,3,12,10,11,1,6,4,0
4870239,14,9,7,4,8,26,19,25,0,4,11,24
567195,8,2,2,4,0,3,8,2,2,5,2,2
11548744,6,2,2,3,1,8,3,6,1,1,1,2
19873374,13,4,1,3,4,18,15,7,4,4,3,3
